date,type,symbol,currency,name,quantity,price,total,fee,notes,split_ratio
2020-06-15,BUY,AAPL,USD,Apple Inc.,25,360.00,9000.00,4.50,"Pre-split purchase - will be adjusted to 100 shares @ $90 after 4:1 split",
2020-07-20,SELL,AAPL,USD,Apple Inc.,10,380.00,3800.00,2.00,"Pre-split disposal - will be adjusted to 40 shares @ $95",
2020-08-31,STOCK_SPLIT,AAPL,USD,Apple Inc.,,,,,,4:1
2022-05-10,BUY,TSLA,GBP,Tesla Inc.,50,750.00,37500.00,15.00,"Pre-split purchase - will be adjusted to 150 shares @ $250 after 3:1 split",
2022-08-25,STOCK_SPLIT,TSLA,GBP,Tesla Inc.,,,,,,3:1
2023-04-10,BUY,AAPL,USD,Apple Inc.,100,150.00,15000.00,5.00,"Post-split purchase (already in split-adjusted units)",
2023-05-15,BUY,AAPL,USD,Apple Inc.,50,155.00,7750.00,2.50,Adding to Section 104 pool,
2023-07-01,DIVIDEND,AAPL,USD,Apple Inc. Dividend,,,75.00,0.00,Q2 2023 dividend,
2023-08-20,SELL,AAPL,USD,Apple Inc.,30,165.00,4950.00,2.00,Section 104 pool disposal,
2023-10-10,BUY,MSFT,USD,Microsoft Corp.,80,350.00,28000.00,10.00,MSFT initial purchase,
2023-11-15,SELL,MSFT,USD,Microsoft Corp.,20,360.00,7200.00,3.00,Partial MSFT disposal from pool,
2023-12-01,DIVIDEND,MSFT,USD,Microsoft Corp. Dividend,,,120.00,0.00,Q4 2023 dividend,
2024-01-15,BUY,GOOGL,USD,Alphabet Inc.,40,140.00,5600.00,3.00,GOOGL initial purchase (tax year 2023/24),
2024-02-20,BUY,GOOGL,USD,Alphabet Inc.,25,142.00,3550.00,2.00,GOOGL additional purchase,
2024-02-20,SELL,GOOGL,USD,Alphabet Inc.,35,145.00,5075.00,2.50,"Multi-rule: 25 match same-day (last buy), 10 from Section 104 pool (Jan buy)",
2024-03-10,SELL,AAPL,USD,Apple Inc.,60,170.00,10200.00,3.50,Large disposal - will trigger bed-and-breakfast,
2024-03-10,BUY,AAPL,USD,Apple Inc.,15,171.00,2565.00,1.50,"Same-day match with disposal above (15 shares), rest available for B&B",
2024-03-25,BUY,AAPL,USD,Apple Inc.,30,168.00,5040.00,2.00,"Bed-and-breakfast: matches 30 of the 45 remaining shares from March 10 disposal, 15 already matched same-day",
2024-04-01,DIVIDEND,AAPL,USD,Apple Inc. Dividend,,,85.00,0.00,Q1 2024 dividend (last dividend in 2023/24 tax year),
2024-04-15,SELL,MSFT,USD,Microsoft Corp.,30,380.00,11400.00,4.00,MSFT disposal from Section 104 pool (tax year 2024/25),
2024-05-10,BUY,TSLA,GBP,Tesla Inc.,50,180.00,9000.00,8.00,"Post-split purchase (already in split-adjusted units)",
2024-05-10,SELL,TSLA,GBP,Tesla Inc.,20,185.00,3700.00,3.00,Same-day disposal (matches 20 from buy above),
2024-05-15,BUY,NVDA,USD,NVIDIA Corp.,10,950.00,9500.00,8.00,"Pre-split purchase - will be adjusted to 100 shares @ $95 after 10:1 split",
2024-06-01,DIVIDEND,MSFT,USD,Microsoft Corp. Dividend,,,90.00,0.00,Q2 2024 dividend,
2024-06-10,STOCK_SPLIT,NVDA,USD,NVIDIA Corp.,,,,,,10:1
2024-06-15,SELL,TSLA,GBP,Tesla Inc.,25,195.00,4875.00,3.00,"Disposal from Section 104 pool (mix of pre-split adjusted and post-split shares)",
2024-06-20,BUY,TSLA,GBP,Tesla Inc.,15,192.00,2880.00,2.50,Bed-and-breakfast: matches 15 of 25 shares sold June 15 (within 30 days),
2024-07-15,BUY,MSFT,USD,Microsoft Corp.,50,375.00,18750.00,7.50,MSFT repurchase - adding to pool,
2024-08-10,BUY,NVDA,USD,NVIDIA Corp.,40,450.00,18000.00,9.00,"Post-split purchase (already in split-adjusted units)",
2024-08-10,SELL,NVDA,USD,NVIDIA Corp.,10,455.00,4550.00,2.00,NVDA same-day disposal (matches 10 from buy above),
2024-09-05,BUY,NVDA,USD,NVIDIA Corp.,30,460.00,13800.00,7.00,NVDA additional purchase,
2024-09-20,DIVIDEND,NVDA,USD,NVIDIA Corp. Dividend,,,36.00,0.00,Q3 2024 dividend,
2024-10-01,SELL,NVDA,USD,NVIDIA Corp.,50,480.00,24000.00,8.00,"Large disposal from pool (mix of pre-split adjusted 100 shares and post-split 40+30 shares)",
2024-10-01,BUY,NVDA,USD,NVIDIA Corp.,25,482.00,12050.00,6.00,"Same-day match with disposal above (25 shares), overrides pool matching",
2024-10-15,BUY,NVDA,USD,NVIDIA Corp.,15,485.00,7275.00,4.00,"Bed-and-breakfast: matches 15 of the 25 shares from Oct 1 disposal (after 25 already matched same-day)",
2024-11-10,SELL,AAPL,USD,Apple Inc.,50,185.00,9250.00,4.50,"AAPL disposal from Section 104 pool (mix of pre-split adjusted and post-split shares)",
2024-12-01,DIVIDEND,AAPL,USD,Apple Inc. Dividend,,,95.00,0.00,Q4 2024 dividend,
2024-12-15,BUY,META,USD,Meta Platforms Inc.,100,350.00,35000.00,15.00,META initial large purchase,
2024-12-20,SELL,META,USD,Meta Platforms Inc.,60,360.00,21600.00,10.00,Partial disposal - from Section 104 pool,
2024-12-20,BUY,META,USD,Meta Platforms Inc.,20,361.00,7220.00,4.00,"Same-day match with disposal above (20 shares), 40 came from pool",
2025-01-05,BUY,META,USD,Meta Platforms Inc.,30,358.00,10740.00,5.50,"Bed-and-breakfast: matches 30 of the 40 pool shares from Dec 20 disposal (20 already matched same-day)",
2025-01-10,SELL,MSFT,USD,Microsoft Corp.,70,395.00,27650.00,11.00,Large MSFT disposal from Section 104 pool,
2025-02-01,SELL,TSLA,GBP,Tesla Inc.,20,220.00,4400.00,3.50,TSLA disposal - will trigger bed-and-breakfast,
2025-02-10,BUY,TSLA,GBP,Tesla Inc.,5,218.00,1090.00,1.00,"Bed-and-breakfast: matches 5 of 20 shares from Feb 1, 15 from pool",
2025-03-15,DIVIDEND,GOOGL,USD,Alphabet Inc. Dividend,,,60.00,0.00,Q1 2025 dividend,
2025-04-01,SELL,NVDA,USD,NVIDIA Corp.,35,510.00,17850.00,9.00,NVDA disposal from Section 104 pool (tax year 2024/25),
2025-04-01,BUY,NVDA,USD,NVIDIA Corp.,10,512.00,5120.00,3.00,"Same-day match with disposal above (10 shares), 25 from pool",
